English,Translation,New,Correct
Dog,Hund,0,1
Cat,Katze,0,1
Mouse,Maus,0,1
House,Haus,0,1
Teacher,Lehrer,0,1
Car,Auto,0,1
World,Welt,0,1
Hello,Hallo,0,1
Good bye,Auf Wiedersehen,0,1
Door,Tür,0,1
Doorhandle,Türknauf,0,1
Grass,Gras,0,1
Weather,Wetter,0,0
Recommendation,Empfehlung,0,1
Seagull,Möwe,0,1
Lion,Löwe,1,2
Tiger,Tiger,0,0
Tea,Tee,1,2
Cloak,Mantel,1,2
Dagger,Dolch,1,2
Red,Rot,1,2
Green,Grün,1,2
Blue,Blau,1,2
Brown,Braun,1,2
Bike,Fahrrad,1,2
Street,Straße,0,1
Street sign,Straßenschild,1,2
Table,Tisch,1,2
Chair,Stuhl,1,2
Keyboard,Tastatur,1,2
Piano,Klavier,1,2
Screen,Bildschirm,0,0
TV,Fernsehen,1,2
Cable car,Seilbahn,1,2
Hippo,Nilpferd,1,2
Headphones,Kopfhörer,1,2
Blackboard,Tafel,1,2
To eat,essen,1,2
To sleep,schlafen,1,2
To walk,gehen,1,2
To run,rennen,1,2
Soccer,Fußball,1,2
Trampoline,Trampolin,1,2
Feather,Feder,1,2
To fall,Fallen,1,2
To bet,Wetten,1,2
To compete,Wetteifern,1,2
To repeat,Wiederholen,1,2
Yes,Ja,1,2
No,Nein,0,1
Maybe,Vielleicht,1,2
Good evening.,Guten Abend.,1,2
Good morning.,Guten Morgen.,1,2
Enjoy your meal.,Guten Appetit.,1,2
Eastern,Ostern,1,2
New year's eve,Silvester,1,2
Christmas,Weihnachten,1,2
Happy birthday!,Alles Gute zum Geburtstag,1,2
Bless you.,Gesundheit.,1,2
Congratulations!,Gratuliere!,1,2
Germany,Deutschland,1,2
United States of America,Vereinigte Staaten von Amerika,1,2
California,Kalifornien,0,1
Bavaria,Bayern,1,2
River,Fluss,1,2
Horse,Pferd,1,2
Bunny,Hase,0,1
To study,lernen,1,2
Student,Student,0,1
Spanish,Spanisch,1,2
Brave,Tapfer,1,2
To test,testen,0,0
Mobile phone,Handy,1,2
What's your name?,Wie heißt du?,1,2
How old are you?,Wie alt bist du?,1,2
Beer,Bier,0,1
Bear,Bär,0,1
Wine,Wein,0,1
Vinyard,Weinberg,1,2
Chocolate,Schokolade,1,2
Salad,Salat,1,2
Water,Wasser,1,2
Glass,Glas,1,2
Newspaper,Zeitung,1,2
To order,bestellen,1,2
Receipt,Quittung,1,2
Bill,Rechnung,1,2
Dentist,Zahnarzt,1,2
Physician,Arzt,0,1
Hospital,Krankenhaus,1,2
Ambulance,Krankenwagen,1,2
To call,rufen,1,2
Nice to meet you,Schön Sie kennenzulernen.,1,2
How are you?,Wie geht's?,1,2
Ice cream,Eis,1,2
Ice cream parlor,Eisdiele,1,2
Supermarket,Supermarkt,0,1
Mall,Einkaufszentrum,1,2
Wheelchair,Rollstuhl,1,2
Disabled,behindert,0,1
Discount,Rabatt,1,2
Aircraft,Flugzeug,1,2
Airplane,Flugzeug,1,2
To fly,fliegen,1,2
Flight,Flug,1,2
Carrier,Fluggesellschaft,1,2
